starting points:
-2413
-7977
-12399
-13532
-19051
-20181
-25031
-26082
-31443
-32476
-37984
-39646
-39778
-41138
-48341
-53097
-54463
-61883
-63996
-72607
-79454
-84771
-85813
-87163
-93534
-94553
-102721
-109188
-110361
-116344
-124778
-125926
-132428
-133125
-139073
-140245
-145358
-150623
-155769
-161481
-162805
-168332
-173987
-187917
-185142
-189974
-196902
-198766
-204373
-209568
-214323
-219617
-224210
-228960
-233225
-234229
-240028
-244707
-248986
-252395
-255373
-257895
-260993
-266054
-266891
-269164
-271220
-273840
-277078
-279740
-281778 (palm)
-282583
-283890
-285049
-286434
-287559
-291462
-295056
-297003
-297449
-298183
-301505
-302439
-307887
-311776
-313648
-314765
